iter	Passed	Remaining
295	16751	39842
296	16809	39787
297	16870	39742
298	16909	39643
299	16966	39589
300	17022	39531
301	17080	39477
302	17145	39440
303	17199	39378
304	17255	39319
305	17309	39257
306	17371	39213
307	17436	39174
308	17494	39121
309	17549	39061
310	17611	39017
311	17671	38967
312	17733	38923
313	17764	38811
314	17797	38702
315	17858	38654
316	17918	38606
317	17980	38562
318	18030	38491
319	18092	38445
320	18151	38395
321	18219	38362
322	18284	38324
323	18351	38288
324	18416	38248
325	18475	38198
326	18512	38100
327	18579	38064
328	18637	38010
329	18694	37955
330	18750	37897
331	18808	37844
332	18867	37792
333	18909	37706
334	18959	37636
335	19017	37581
336	19077	37531
337	19135	37477
338	19196	37430
339	19256	37379
340	19311	37320
341	19364	37256
342	19417	37192
343	19472	37133
344	19504	37030
345	19560	36972
346	19627	36936
347	19693	36896
348	19757	36853
349	19820	36809
350	19887	36771
351	19943	36713
352	19998	36653
353	20058	36603
354	20125	36566
355	20188	36519
356	20248	36469
357	20280	36369
358	20332	36304
359	20393	36254
360	20448	36196
361	20509	36147
362	20567	36092
363	20622	36032
364	20686	35988
365	20751	35946
366	20807	35888
367	20867	35837
368	20935	35800
369	20998	35753
370	21055	35697
371	21112	35641
372	21169	35584
373	21225	35527
374	21291	35485
375	21353	35437
376	21407	35376
377	21463	35318
378	21520	35262
379	21581	35211
380	21643	35162
381	21707	35118
382	21768	35068
383	21824	35010
384	21882	34955
385	21945	34907
386	22009	34862
387	22075	34820
388	22139	34773
389	22205	34731
390	22264	34677
391	22325	34626
392	22389	34581
393	22454	34536
394	22516	34486
395	22579	34439
396	22645	34395
397	22705	34343
398	22763	34288
399	22827	34241
